bus_id1,bus_id2,voltage1,voltage2,is_transformer,r,x,fmax
4748,4749,220.0,380.0,true,2.0,55.0,1000.0
5143,5144,132.0,220.0,true,2.0,55.0,1000.0
5393,5394,220.0,380.0,true,2.0,55.0,1000.0
6627,6628,220.0,380.0,true,2.0,55.0,1000.0
2696,2697,220.0,380.0,true,2.0,55.0,1000.0
2508,2509,132.0,220.0,true,2.0,55.0,1000.0
5553,5554,220.0,380.0,true,2.0,55.0,1000.0
1551,1552,220.0,380.0,true,2.0,55.0,1000.0
2402,2404,132.0,380.0,true,2.0,55.0,1000.0
529,530,220.0,380.0,true,2.0,55.0,1000.0
5127,5128,220.0,380.0,true,2.0,55.0,1000.0
2456,2457,132.0,380.0,true,2.0,55.0,1000.0
2400,2401,132.0,220.0,true,2.0,55.0,1000.0
6274,6275,220.0,380.0,true,2.0,55.0,1000.0
5038,5039,220.0,380.0,true,2.0,55.0,1000.0
4299,4300,220.0,380.0,true,2.0,55.0,1000.0
180,181,220.0,380.0,true,2.0,55.0,1000.0
4050,4051,220.0,380.0,true,2.0,55.0,1000.0
5135,5136,220.0,380.0,true,2.0,55.0,1000.0
1669,1670,220.0,380.0,true,2.0,55.0,1000.0
4850,4851,220.0,380.0,true,2.0,55.0,1000.0
1519,1520,220.0,380.0,true,2.0,55.0,1000.0
3940,3941,220.0,380.0,true,2.0,55.0,1000.0
5073,5074,220.0,380.0,true,2.0,55.0,1000.0
2931,2932,220.0,380.0,true,2.0,55.0,1000.0
1740,1741,220.0,380.0,true,2.0,55.0,1000.0
2543,2544,132.0,380.0,true,2.0,55.0,1000.0
4858,4859,220.0,380.0,true,2.0,55.0,1000.0
4005,4006,220.0,380.0,true,2.0,55.0,1000.0
264,265,220.0,380.0,true,2.0,55.0,1000.0
3323,3324,220.0,380.0,true,2.0,55.0,1000.0
4777,4778,220.0,380.0,true,2.0,55.0,1000.0
3984,3985,220.0,380.0,true,2.0,55.0,1000.0
2928,2929,220.0,380.0,true,2.0,55.0,1000.0
1653,1654,220.0,380.0,true,2.0,55.0,1000.0
3956,3957,220.0,380.0,true,2.0,55.0,1000.0
5224,5225,220.0,380.0,true,2.0,55.0,1000.0
3354,3355,220.0,380.0,true,2.0,55.0,1000.0
4968,4969,220.0,380.0,true,2.0,55.0,1000.0
5324,5325,220.0,380.0,true,2.0,55.0,1000.0
6339,6340,220.0,380.0,true,2.0,55.0,1000.0
4549,4550,220.0,380.0,true,2.0,55.0,1000.0
2835,2836,220.0,380.0,true,2.0,55.0,1000.0
2741,2742,220.0,380.0,true,2.0,55.0,1000.0
5413,5414,220.0,380.0,true,2.0,55.0,1000.0
4054,4055,220.0,380.0,true,2.0,55.0,1000.0
5543,5544,220.0,380.0,true,2.0,55.0,1000.0
205,206,220.0,380.0,true,2.0,55.0,1000.0
4974,4975,220.0,380.0,true,2.0,55.0,1000.0
